City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atafu village,-8.5421,-172.5159,26.05,89,100,3.69,TK,1702452748
1,port-aux-francais,-49.35,70.2167,6.1,93,99,8.99,TF,1702452748
2,isafjordur,66.0755,-23.124,6.02,70,100,3.6,IS,1702452750
3,polewali,-3.4324,119.3435,28.92,81,80,0.54,ID,1702452750
4,gisborne,-38.6533,178.0042,12.33,78,100,1.1,NZ,1702452750
5,labytnangi,66.6572,66.4183,-23.57,90,16,2.59,RU,1702452750
6,chetwayi,10.5333,76.05,31.01,59,13,5.61,IN,1702452750
7,waitangi,-43.9535,-176.5597,9.34,63,9,10.59,NZ,1702452750
8,puerto ayora,-0.7393,-90.3518,24.06,89,98,3.81,EC,1702452751
9,halden,59.1226,11.3871,-3.76,93,18,2.58,NO,1702452751
10,port elizabeth,-33.918,25.5701,21.17,73,40,4.63,ZA,1702452751
11,adamstown,-25.066,-130.1015,22.91,82,64,3.82,PN,1702452751
12,micheweni,-4.9667,39.8333,30.18,64,2,0.53,TZ,1702452751
13,aasiaat,68.7098,-52.8699,-10.78,85,96,6.1,GL,1702452752
14,imperatriz,-5.5264,-47.4917,25.03,100,0,1.03,BR,1702452752
15,saipan,15.1355,145.701,28.39,78,40,5.66,MP,1702452752
16,pagar alam,-4.0167,103.2667,27.26,68,94,0.53,ID,1702452752
17,suntar,62.1444,117.6319,-26.76,93,100,4.8,RU,1702452743
18,udachny,66.4167,112.4,-23.59,96,100,5.66,RU,1702452752
19,nizhnevartovsk,60.9344,76.5531,-21.66,71,0,7.15,RU,1702452752
20,port alfred,-33.5906,26.891,18.43,84,42,3.13,ZA,1702452753
21,yabelo,4.8833,38.0833,20.13,62,65,3.42,ET,1702452753
22,tianpeng,30.9866,103.9393,14.26,53,57,2.45,CN,1702452753
23,erenhot,43.6475,111.9767,-10.72,60,99,7.71,CN,1702452753
24,whitehorse,60.7161,-135.0538,2.43,87,100,8.23,CA,1702452753
25,antsiranana,-12.2787,49.2917,33.42,49,40,6.17,MG,1702452754
26,ribeira grande,38.5167,-28.7,14.32,67,20,3.6,PT,1702452754
27,markaz-e hukumat-e darweshan,31.1323,64.1934,17.27,25,100,0.66,AF,1702452754
28,ladario,-19.0047,-57.6017,25.33,73,6,0.82,BR,1702452754
29,grytviken,-54.2811,-36.5092,5.54,87,100,5.98,GS,1702452755
30,illizi,26.4833,8.4667,9.89,18,55,1.45,DZ,1702452755
31,klyuchi,52.2667,79.1667,-22.89,74,67,2.8,RU,1702452755
32,villa angela,-27.5738,-60.7153,27.86,65,0,5.13,AR,1702452755
33,alaghsas,17.0187,8.0168,17.94,25,0,7.2,NE,1702452755
34,utrik,11.2278,169.8474,27.27,84,94,9.98,MH,1702452755
35,puerto natales,-51.7236,-72.4875,6.37,92,100,3.47,CL,1702452745
36,lihue,21.9789,-159.3672,23.58,88,100,13.89,US,1702452756
37,ust-nera,64.5667,143.2,-27.69,100,88,2.54,RU,1702452756
38,rio grande,-32.035,-52.0986,22.19,92,36,5.64,BR,1702452752
39,alice springs,-23.7,133.8833,36.75,14,2,1.03,AU,1702452756
40,edinburgh of the seven seas,-37.0676,-12.3116,14.75,90,99,6.78,SH,1702452757
41,cabedelo,-6.9811,-34.8339,25.37,71,95,6.27,BR,1702452757
42,port mathurin,-19.6833,63.4167,26.43,76,16,6.52,MU,1702452757
43,protaras,35.0125,34.0583,18.95,72,0,0.45,CY,1702452757
44,narimanov,46.6927,47.8498,-9.05,50,100,10.16,RU,1702452757
45,americus,32.0724,-84.2327,4.07,87,0,2.06,US,1702452757
46,shawano,44.7822,-88.609,-5.01,68,40,2.06,US,1702452757
47,fale old settlement,-9.3852,-171.2468,26.12,91,100,6.23,TK,1702452757
48,longyearbyen,78.2186,15.6401,-3.09,86,20,8.23,SJ,1702452758
49,kone,-21.0595,164.8658,25.5,71,16,2.81,NC,1702452758
50,invercargill,-46.4,168.35,12.0,75,22,9.51,NZ,1702452758
51,bethel,41.3712,-73.414,3.3,74,0,1.54,US,1702452758
52,bredasdorp,-34.5322,20.0403,20.24,49,56,3.39,ZA,1702452759
53,yigo village,13.5361,144.8886,29.62,75,0,8.75,GU,1702452759
54,west island,-12.1568,96.8225,29.99,66,75,6.69,CC,1702452759
55,rongelap,11.1635,166.8941,27.49,83,18,9.29,MH,1702452759
56,punta arenas,-53.15,-70.9167,7.06,65,40,11.83,CL,1702452561
57,iqaluit,63.7506,-68.5145,-13.15,66,100,5.66,CA,1702452760
58,luderitz,-26.6481,15.1594,22.36,45,0,9.1,NA,1702452760
59,broken hill,-31.95,141.4333,33.97,14,2,11.19,AU,1702452760
60,mu'minobod,38.1085,70.0285,2.35,57,10,1.99,TJ,1702452760
61,changji,44.0167,87.3167,-12.56,66,20,3.0,CN,1702452760
62,puerto baquerizo moreno,-0.9,-89.6,23.71,89,37,4.98,EC,1702452760
63,college,64.8569,-147.8028,-14.03,82,100,2.06,US,1702452761
64,whangarei,-35.7317,174.3239,14.9,78,48,3.92,NZ,1702452761
65,margaret river,-33.95,115.0667,21.53,57,0,7.57,AU,1702452761
66,keflavik,64.0049,-22.5624,7.24,100,100,10.8,IS,1702452761
67,pemangkat,1.1667,108.9667,28.51,78,89,4.78,ID,1702452761
68,manokwari,-0.8667,134.0833,28.14,77,51,3.95,ID,1702452762
69,port saint john's,-31.6229,29.5448,18.25,84,100,4.31,ZA,1702452762
70,papatowai,-46.5619,169.4708,11.47,73,63,10.76,NZ,1702452762
71,chenzhou,25.8,113.0333,22.84,69,76,3.47,CN,1702452762
72,sabang,5.8933,95.3214,27.5,79,38,7.09,ID,1702452762
73,kruisfontein,-34.0033,24.7314,19.94,49,0,3.58,ZA,1702452762
74,qarazhal,48.0078,70.7903,-15.71,57,0,4.58,KZ,1702452762
75,karratha,-20.7377,116.8463,33.17,34,0,7.14,AU,1702452763
76,talnakh,69.4865,88.3972,-24.89,96,100,4.9,RU,1702452763
77,freetown,8.484,-13.2299,24.84,100,40,1.03,SL,1702452763
78,dubbo,-32.25,148.6167,34.07,29,40,8.75,AU,1702452609
79,arraial do cabo,-22.9661,-42.0278,22.03,76,0,2.05,BR,1702452763
80,arauquita,7.0292,-71.4281,23.66,73,45,1.31,CO,1702452763
81,beyneu,45.3167,55.2,-2.63,54,100,13.46,KZ,1702452763
82,sao vicente,-23.9631,-46.3919,22.93,26,0,1.25,BR,1702452764
83,rodolfo sanchez taboada,31.7167,-116.5667,13.39,76,4,0.45,MX,1702452764
84,san patricio,28.017,-97.5169,20.47,86,100,2.99,US,1702452764
85,saint-francois,46.4154,3.9054,8.69,82,0,3.09,FR,1702452765
86,thinadhoo,0.5333,72.9333,28.44,74,83,2.77,MV,1702452765
87,afaahiti,-17.75,-149.2833,25.93,86,100,10.62,PF,1702452766
88,tura,25.5198,90.2201,21.63,56,48,1.83,IN,1702452766
89,nizhnesortymskiy,62.4397,71.7603,-16.96,96,100,7.32,RU,1702452766
90,stanley,54.868,-1.6985,4.87,93,75,5.14,GB,1702452766
91,iskateley,67.6803,53.1512,-18.32,98,100,4.02,RU,1702452766
92,coquimbo,-29.9533,-71.3436,14.85,100,75,3.6,CL,1702452581
93,hithadhoo,-0.6,73.0833,28.43,74,95,2.96,MV,1702452766
94,saint-joseph,-21.3667,55.6167,29.5,83,39,4.2,RE,1702452767
95,vilyuysk,63.7553,121.6247,-26.25,95,100,4.25,RU,1702452767
96,tidjikja,18.5564,-11.4271,19.17,26,96,5.89,MR,1702452767
97,nemuro,43.3236,145.575,-2.15,79,100,6.7,JP,1702452767
98,sisimiut,66.9395,-53.6735,-8.74,92,100,5.89,GL,1702452768
99,jamestown,42.097,-79.2353,0.77,74,75,7.6,US,1702452668
100,kodiak,57.79,-152.4072,-6.27,68,20,4.12,US,1702452519
101,nabire,-3.3667,135.4833,28.68,79,74,1.91,ID,1702452768
102,tiksi,71.6872,128.8694,-18.31,99,100,6.49,RU,1702452768
103,hamilton,39.1834,-84.5333,2.27,71,0,0.89,US,1702452680
104,naze,28.3667,129.4833,20.51,75,88,5.29,JP,1702452769
105,hawaiian paradise park,19.5933,-154.9731,21.73,96,100,3.6,US,1702452769
106,axim,4.8699,-2.2405,27.47,73,19,2.94,GH,1702452769
107,port alberni,49.2413,-124.8028,6.91,94,100,0.89,CA,1702452769
108,sao joaquim,-28.2939,-49.9317,10.15,99,37,1.33,BR,1702452538
109,avarua,-21.2078,-159.775,26.03,89,75,4.63,CK,1702452770
110,greymouth,-42.4667,171.2,12.64,88,99,4.29,NZ,1702452770
111,timaru,-44.4,171.25,16.15,88,2,2.24,NZ,1702452770
112,bilibino,68.0546,166.4372,-22.7,97,99,2.02,RU,1702452770
113,blackmans bay,-43.0167,147.3167,21.4,74,100,1.74,AU,1702452770
114,chegdomyn,51.1167,133.0167,-30.44,95,71,1.07,RU,1702452770
115,tavares,28.8042,-81.7256,16.14,92,0,5.14,US,1702452770
